b_intervals,utilities,weights
"(170642, 170643)",-594.0,5.6706744926470255e-33
"(170643, 170644)",-593.0,6.425716029188487e-33
"(170644, 170645)",-592.0,7.281290178321643e-33
"(170645, 170646)",-591.0,8.250782701895846e-33
"(170646, 170647)",-590.0,9.349361655243808e-33
"(170647, 170648)",-589.0,1.0594214696801823e-32
"(170648, 170649)",-588.0,1.2004817995138824e-32
"(170649, 170650)",-587.0,1.3603240940540357e-32
"(191039, 215843)",-586.0,1.5414491428468625e-32
"(215843, 215844)",-585.0,1.7466907116981076e-32
"(215844, 215845)",-584.0,1.9792598779469045e-32
"(215845, 215846)",-583.0,2.2427952689127702e-32
"(215846, 215847)",-582.0,2.5414199895141027e-32
"(215847, 215848)",-581.0,2.879806129711015e-32
"(215848, 215849)",-580.0,3.263247861014401e-32
"(215849, 215850)",-579.0,3.6977442656820983e-32
"(215850, 215851)",-578.0,4.1900931944943974e-32
"(215851, 215852)",-577.0,4.7479976215471634e-32
"(215852, 215853)",-576.0,5.380186160021138e-32
"(215853, 215854)",-575.0,6.096549624439501e-32
"(215854, 215855)",-574.0,6.908295775978761e-32
"(215855, 215856)",-573.0,7.828124671878425e-32
"(215856, 215857)",-572.0,8.870427362353295e-32
"(215857, 215858)",-571.0,1.0051511043692284e-31
"(215858, 215859)",-570.0,1.1389854190144031e-31
"(215859, 215860)",-569.0,1.290639565621842e-31
"(215860, 215861)",-568.0,1.462486227251231e-31
"(236250, 261052)",-567.0,1.6572140060412714e-31
"(261052, 261053)",-566.0,1.8778694873463448e-31
"(261053, 261054)",-565.0,2.1279049046479047e-31
"(261054, 261055)",-564.0,2.411232150975086e-31
"(261055, 261056)",-563.0,2.732283981862415e-31
"(261056, 261057)",-562.0,3.0960833673866636e-31
"(261057, 261058)",-561.0,3.5083220783201285e-31
"(261058, 261059)",-560.0,3.975449735908647e-31
"(261059, 261060)",-559.0,4.504774718489806e-31
"(261060, 261061)",-558.0,5.104578503671272e-31
"(261061, 261062)",-557.0,5.784245234993277e-31
"(261062, 261063)",-556.0,6.554408540191793e-31
"(261063, 261064)",-555.0,7.427117898086325e-31
"(261064, 261065)",-554.0,8.416027156961458e-31
"(261065, 261066)",-553.0,9.536608153879278e-31
"(261066, 261067)",-552.0,1.0806392777072785e-30
"(261067, 261068)",-551.0,1.2245247258572552e-30
"(261068, 261069)",-550.0,1.3875682988472282e-30
"(261069, 261070)",-549.0,1.5723208713633047e-30
"(261070, 261071)",-548.0,1.7816729631100128e-30
"(261071, 261072)",-547.0,2.0188999620190996e-30
"(281461, 306259)",-546.0,2.2877133688586176e-30
"(306259, 306260)",-545.0,2.5923188649824402e-30
"(306260, 306261)",-544.0,2.9374821117108028e-30
"(306261, 306262)",-543.0,3.32860331079657e-30
"(306262, 306263)",-542.0,3.77180169250225e-30
"(306263, 306264)",-541.0,4.274011253133762e-30
"(306264, 306265)",-540.0,4.843089239878731e-30
"(306265, 306266)",-539.0,5.487939080233175e-30
"(306266, 306267)",-538.0,6.218649679291205e-30
"(306267, 306268)",-537.0,7.046653264253344e-30
"(306268, 306269)",-536.0,7.984904245686979e-30
"(306269, 306270)",-535.0,9.048081893886934e-30
"(306270, 306271)",-534.0,1.025282000127994e-29
"(306271, 306272)",-533.0,1.161796712402298e-29
"(306272, 306273)",-532.0,1.3164881474367886e-29
"(306273, 306274)",-531.0,1.4917765077488086e-29
"(306274, 306283)",-530.0,1.690404242076995e-29
"(326672, 326673)",-529.0,1.915478951967148e-29
"(326673, 326674)",-528.0,2.1705220113036395e-29
"(326674, 326675)",-527.0,2.4595236594562157e-29
"(326675, 326676)",-526.0,2.78700542999407e-29
"(326676, 326677)",-525.0,3.1580908916866257e-29
"(326677, 326678)",-524.0,3.5785858085591347e-29
"(326678, 326679)",-523.0,4.055068973135681e-29
"(326679, 326680)",-522.0,4.5949951339879807e-29
"(326680, 351482)",-521.0,5.206811627928075e-29
"(351482, 351483)",-520.0,5.900090541597061e-29
"(351483, 351484)",-519.0,6.685678470164923e-29
"(351484, 351485)",-518.0,7.575866216169569e-29
"(351485, 351486)",-517.0,8.584581083493778e-29
"(351486, 351487)",-516.0,9.727604774987715e-29
"(351487, 351488)",-515.0,1.10228203028228e-28
"(351488, 351489)",-514.0,1.2490491774577263e-28
"(351489, 351490)",-513.0,1.4153581432406144e-28
"(351490, 351491)",-512.0,1.6038108905486377e-28
"(351491, 351494)",-511.0,1.8173558296369182e-28
"(371883, 371884)",-510.0,2.0593339470250527e-28
"(371884, 371885)",-509.0,2.33353107641944e-28
"(371885, 396681)",-508.0,2.6442371294280543e-28
"(396681, 396682)",-507.0,2.9963132127532655e-28
"(396682, 396683)",-506.0,3.3952676819350547e-28
"(396683, 396684)",-505.0,3.847342321532497e-28
"(396684, 396685)",-504.0,4.359610000063081e-28
"(396685, 396686)",-503.0,4.940085327546147e-28
"(396686, 396687)",-502.0,5.597850046927042e-28
"(396687, 396688)",-501.0,6.343195121175439e-28
"(396688, 396689)",-500.0,7.187781739060989e-28
"(396689, 396690)",-499.0,8.144823758598941e-28
"(396690, 396691)",-498.0,9.229294442558325e-28
"(396691, 396692)",-497.0,1.0458160720483223e-27
"(396692, 396693)",-496.0,1.1850648642339812e-27
"(396693, 396694)",-495.0,1.342854417690584e-27
"(396694, 396695)",-494.0,1.5216534061000393e-27
"(396695, 396696)",-493.0,1.7242592032261266e-27
"(396696, 396697)",-492.0,1.953841648821924e-27
"(396697, 396698)",-491.0,2.2139926419001003e-27
"(396698, 396699)",-490.0,2.5087823372704347e-27
"(396699, 396700)",-489.0,2.8428228245593702e-27
"(396700, 396701)",-488.0,3.2213402859925163e-27
"(396701, 396702)",-487.0,3.650256761874268e-27
"(396702, 396705)",-486.0,4.136282803014549e-27
"(417094, 417095)",-485.0,4.687022459682853e-27
"(417095, 417096)",-484.0,5.311092249679095e-27
"(417096, 441895)",-483.0,6.0182559668190775e-27
"(441895, 441896)",-482.0,6.819577438961234e-27
"(441896, 441897)",-481.0,7.727593625528352e-27
"(441897, 441898)",-480.0,8.75651076269652e-27
"(441898, 441899)",-479.0,9.922426625012578e-27
"(441899, 441900)",-478.0,1.1243582380802092e-26
"(441900, 441901)",-477.0,1.2740647981735317e-26
"(441901, 441902)",-476.0,1.4437045551572357e-26
"(441902, 441903)",-475.0,1.6359315833619522e-26
"(441903, 441904)",-474.0,1.85375334300976e-26
"(441904, 441905)",-473.0,2.100577732998967e-26
"(441905, 441906)",-472.0,2.3802664086944007e-26
"(441906, 441907)",-471.0,2.6971951988989904e-26
"(441907, 441908)",-470.0,3.056322567251662e-26
"(441908, 441909)",-469.0,3.463267189154452e-26
"(441909, 441910)",-468.0,3.924395857947463e-26
"(441910, 441911)",-467.0,4.446923095655028e-26
"(441911, 441916)",-466.0,5.039024026748638e-26
"(462305, 462306)",-465.0,5.709962280876788e-26
"(462306, 462307)",-464.0,6.47023492564546e-26
"(462307, 462308)",-463.0,7.331736696974105e-26
"(462308, 462309)",-462.0,8.30794609646949e-26
"(462309, 487104)",-461.0,9.414136267376981e-26
"(487104, 487105)",-460.0,1.0667613948338533e-25
"(487105, 487106)",-459.0,1.2087990243473908e-25
"(487106, 487107)",-458.0,1.3697487445079347e-25
"(487107, 487108)",-457.0,1.5521286709293938e-25
"(487108, 487109)",-456.0,1.7587922024243116e-25
"(487109, 487110)",-455.0,1.9929726634431054e-25
"(487110, 487111)",-454.0,2.2583338905850276e-25
"(487111, 487112)",-453.0,2.559027554624811e-25
"(487112, 487113)",-452.0,2.899758114878488e-25
"(487113, 487114)",-451.0,3.285856422142535e-25
"(487114, 487115)",-450.0,3.7233631217505106e-25
"(487115, 487116)",-449.0,4.21912316161766e-25
"(487116, 487117)",-448.0,4.780892883885469e-25
"(487117, 487118)",-447.0,5.417461375653018e-25
"(487118, 487119)",-446.0,6.138787977370498e-25
"(487119, 487120)",-445.0,6.956158100262611e-25
"(487120, 487121)",-444.0,7.882359790600851e-25
"(487121, 487122)",-443.0,8.931883803235506e-25
"(487122, 487123)",-442.0,1.0121150314608955e-24
"(487123, 487124)",-441.0,1.146876582225596e-24
"(487124, 487125)",-440.0,1.2995814250075031e-24
"(487125, 487127)",-439.0,1.4726186813816338e-24
"(507516, 507517)",-438.0,1.668695580764908e-24
"(507517, 532312)",-437.0,1.8908798159832048e-24
"(532312, 532313)",-436.0,2.1426475384166538e-24
"(532313, 532314)",-435.0,2.4279377436242747e-24
"(532314, 532315)",-434.0,2.7512138983304072e-24
"(532315, 532316)",-433.0,3.117533772949054e-24
"(532316, 532317)",-432.0,3.532628572200807e-24
"(532317, 532318)",-431.0,4.002992601849016e-24
"(532318, 532319)",-430.0,4.535984874423162e-24
"(532319, 532320)",-429.0,5.1399442435871284e-24
"(532320, 532321)",-428.0,5.824319868470494e-24
"(532321, 532322)",-427.0,6.5998190491237225e-24
"(532322, 532338)",-426.0,7.478574746035519e-24
"(552727, 552728)",-425.0,8.47433540461478e-24
"(552728, 552729)",-424.0,9.602680054508677e-24
"(552729, 552730)",-423.0,1.0881262049062174e-23
"(552730, 552731)",-422.0,1.2330085258309567e-23
"(552731, 552732)",-421.0,1.3971817036635564e-23
"(552732, 552733)",-420.0,1.583214286159632e-23
"(552733, 552734)",-419.0,1.7940168192350867e-23
"(552734, 552735)",-418.0,2.0328873834921067e-23
"(552735, 552736)",-417.0,2.3035631938631488e-23
"(552736, 552737)",-416.0,2.610279069667705e-23
"(552737, 552738)",-415.0,2.9578336898666744e-23
"(552738, 552739)",-414.0,3.351664670101365e-23
"(552739, 552740)",-413.0,3.7979336361240965e-23
"(552740, 577549)",-412.0,4.3036226246244867e-23
"(597938, 597939)",-411.0,4.876643319676632e-23
"(597939, 597940)",-410.0,5.525960833850248e-23
"(597940, 597941)",-409.0,6.261733970585278e-23
"(597941, 597942)",-408.0,7.095474162284704e-23
"(597942, 597943)",-407.0,8.040225570768548e-23
"(597943, 597944)",-406.0,9.110769167824721e-23
"(597944, 597945)",-405.0,1.0323853988769519e-22
"(597945, 597946)",-404.0,1.1698459177061964e-22
"(597946, 597947)",-403.0,1.3256090919753182e-22
"(597947, 597948)",-402.0,1.5021118919431525e-22
"(597948, 597949)",-401.0,1.7021157666886667e-22
"(597949, 597950)",-400.0,1.9287498479639178e-22
"(597950, 597951)",-399.0,2.18555990657319e-22
"(597951, 597952)",-398.0,2.4765638272182875e-22
"(597952, 597953)",-397.0,2.8063144697336614e-22
"(597953, 597954)",-396.0,3.1799709001977496e-22
"(597954, 622760)",-395.0,3.6033791063566026e-22
"(643149, 643150)",-394.0,4.083163460181308e-22
"(643150, 643151)",-393.0,4.626830358523438e-22
"(643151, 643152)",-392.0,5.242885663363464e-22
"(643152, 643153)",-391.0,5.94096777904655e-22
"(643153, 643154)",-390.0,6.731998448546458e-22
"(643154, 643155)",-389.0,7.628353628018694e-22
"(643155, 643156)",-388.0,8.644057113036095e-22
"(643156, 643157)",-387.0,9.794999945858146e-22
"(643157, 643158)",-386.0,1.1099189036438807e-21
"(643158, 643159)",-385.0,1.2577028886936914e-21
"(643159, 643160)",-384.0,1.425164082740935e-21
"(643160, 643161)",-383.0,1.614922475724293e-21
"(643161, 643162)",-382.0,1.829946905189832e-21
"(643162, 643163)",-381.0,2.0736015048102845e-21
"(643163, 667951)",-380.0,2.349698337452817e-21
"(667951, 667952)",-379.0,2.6625570362583533e-21
"(667952, 667953)",-378.0,3.0170723868383467e-21
"(667953, 667954)",-377.0,3.41879090793651e-21
"(667954, 667955)",-376.0,3.873997628687187e-21
"(667955, 667971)",-375.0,4.3898144201314395e-21
"(688360, 688361)",-374.0,4.974311419422388e-21
"(688361, 688362)",-373.0,5.6366332899911276e-21
"(688362, 688363)",-372.0,6.387142293058423e-21
"(688363, 688364)",-371.0,7.237580408896853e-21
"(688364, 688365)",-370.0,8.201253044288238e-21
"(688365, 688366)",-369.0,9.293237200344816e-21
"(688366, 688367)",-368.0,1.0530617357553812e-20
"(688367, 688368)",-367.0,1.1932752768550773e-20
"(688368, 688369)",-366.0,1.3521580340512199e-20
"(688369, 688370)",-365.0,1.5321957845870208e-20
"(688370, 713182)",-364.0,1.7362052831002947e-20
"(733571, 733572)",-363.0,1.9673783307515505e-20
"(733572, 733573)",-362.0,2.229331712088314e-20
"(733573, 733574)",-361.0,2.5261637809256925e-20
"(733574, 733575)",-360.0,2.8625185805493937e-20
"(733575, 733576)",-359.0,3.243658501424593e-20
"(733576, 733577)",-358.0,3.675546613166337e-20
"(733577, 733578)",-357.0,4.164939958884448e-20
"(733578, 733579)",-356.0,4.719495271526123e-20
"(733579, 733580)",-355.0,5.347888766186029e-20
"(733580, 733581)",-354.0,6.059951882577157e-20
"(733581, 733582)",-353.0,6.866825101401707e-20
"(733582, 733583)",-352.0,7.781132241133797e-20
"(733583, 733584)",-351.0,8.817177962149169e-20
"(733584, 733585)",-350.0,9.991171568224243e-20
"(733585, 733586)",-349.0,1.1321480606858558e-19
"(733586, 758393)",-348.0,1.282891823608785e-19
"(778782, 778783)",-347.0,1.4537068853743743e-19
"(778783, 778784)",-346.0,1.6472657083745667e-19
"(778784, 778785)",-345.0,1.86659658923467e-19
"(778785, 778786)",-344.0,2.1151310375910807e-19
"(778786, 778787)",-343.0,2.396757463279964e-19
"(778787, 778788)",-342.0,2.715882011892062e-19
"(778788, 778789)",-341.0,3.0774975004875105e-19
"(778789, 778790)",-340.0,3.4872615319944465e-19
"(778790, 778791)",-339.0,3.951585010418958e-19
"(778791, 778792)",-338.0,4.4777324417183015e-19
"(778792, 778793)",-337.0,5.073935589580235e-19
"(778793, 778794)",-336.0,5.74952226429356e-19
"(778794, 778795)",-335.0,6.5150622596575245e-19
"(778795, 778796)",-334.0,7.382532721164985e-19
"(778796, 778797)",-333.0,8.365505532703331e-19
"(778797, 778798)",-332.0,9.479359653504757e-19
"(778798, 778799)",-331.0,1.0741521727433002e-18
"(778799, 778800)",-330.0,1.2171738729024408e-18
"(778800, 778801)",-329.0,1.3792386911927587e-18
"(778801, 778802)",-328.0,1.5628821893349888e-18
"(778802, 778803)",-327.0,1.7709775351706372e-18
"(778803, 803604)",-326.0,2.0067804543947083e-18
"(823993, 823994)",-325.0,2.2739801675421068e-18
"(823994, 823995)",-324.0,2.576757109154981e-18
"(823995, 823996)",-323.0,2.9198483321679137e-18
"(823996, 823997)",-322.0,3.308621620785825e-18
"(823997, 823998)",-321.0,3.749159471376912e-18
"(823998, 823999)",-320.0,4.248354255291589e-18
"(823999, 824000)",-319.0,4.8140160524635325e-18
"(824000, 824001)",-318.0,5.454994842887922e-18
"(824001, 824002)",-317.0,6.181318967705964e-18
"(824002, 824003)",-316.0,7.004352026168645e-18
"(824003, 824004)",-315.0,7.93697066318849e-18
"(824004, 824005)",-314.0,8.993766029028821e-18
"(824005, 848815)",-313.0,1.0191272063038983e-17
"(869204, 869205)",-312.0,1.1548224173015786e-17
"(869205, 869206)",-311.0,1.3085852357321768e-17
"(869206, 869207)",-310.0,1.4828213355760042e-17
"(869207, 869208)",-309.0,1.6802567025824347e-17
"(869208, 869209)",-308.0,1.9039802832864523e-17
"(869209, 869210)",-307.0,2.157492312675781e-17
"(869210, 869211)",-306.0,2.444759076612131e-17
"(869211, 869212)",-305.0,2.7702749657841194e-17
"(869212, 869213)",-304.0,3.1391327920480296e-17
"(869213, 869214)",-303.0,3.557103467280572e-17
"(869214, 869215)",-302.0,4.030726291347625e-17
"(869215, 869216)",-301.0,4.5674112617763464e-17
"(869216, 869217)",-300.0,5.175555005801869e-17
"(869217, 869218)",-299.0,5.864672148586656e-17
"(869218, 869219)",-298.0,6.64554417291507e-17
"(869219, 869220)",-297.0,7.530388099325974e-17
"(869220, 869221)",-296.0,8.533047625744067e-17
"(869221, 869222)",-295.0,9.669209717057443e-17
"(869222, 869223)",-294.0,1.0956650033262368e-16
"(869223, 869224)",-293.0,1.2415511035985842e-16
"(869224, 869225)",-292.0,1.4068617124461467e-16
"(869225, 869226)",-291.0,1.5941831731372977e-16
"(869226, 869227)",-290.0,1.8064461965456932e-16
"(869227, 894026)",-289.0,2.0469717131642043e-16
"(914415, 914416)",-288.0,2.319522830243569e-16
"(914416, 914417)",-287.0,2.6283637069436874e-16
"(914417, 914418)",-286.0,2.9783262686202286e-16
"(914418, 914419)",-285.0,3.3748858040153054e-16
"(914419, 914420)",-284.0,3.824246628097135e-16
"(914420, 914421)",-283.0,4.333439150774296e-16
"(914421, 914422)",-282.0,4.910429870159115e-16
"(914422, 914423)",-281.0,5.564246011263937e-16
"(914423, 914424)",-280.0,6.30511676014699e-16
"(914424, 914425)",-279.0,7.14463330316628e-16
"(914425, 914426)",-278.0,8.095930175212601e-16
"(914426, 914427)",-277.0,9.173890754179198e-16
"(914427, 914428)",-276.0,1.039538011670222e-15
"(914428, 914429)",-275.0,1.1779508898282764e-15
"(914429, 914430)",-274.0,1.334793228597603e-15
"(914430, 914431)",-273.0,1.5125188821494485e-15
"(914431, 914432)",-272.0,1.713908431542013e-15
"(914432, 914433)",-271.0,1.9421126879000225e-15
"(914433, 939237)",-270.0,2.200701987975367e-15
"(959626, 959627)",-269.0,2.493722053335376e-15
"(959627, 959628)",-268.0,2.825757287115611e-15
"(959628, 959629)",-267.0,3.2020024986373665e-15
"(959629, 959630)",-266.0,3.628344178047045e-15
"(959630, 959631)",-265.0,4.111452592548034e-15
"(959631, 959632)",-264.0,4.658886145103397e-15
"(959632, 959633)",-263.0,5.2792096283383845e-15
"(959633, 959634)",-262.0,5.9821282237671354e-15
"(959634, 959635)",-261.0,6.7786393428091315e-15
"(959635, 959636)",-260.0,7.681204685202094e-15
"(959636, 959637)",-259.0,8.703945206726412e-15
"(959637, 959638)",-258.0,9.862862046580451e-15
"(959638, 959639)",-257.0,1.1176086870894152e-14
"(959639, 959640)",-255.99999999999997,1.2664165549094221e-14
"(959640, 959641)",-255.0,1.435037960133826e-14
"(959641, 959642)",-254.0,1.626111044617819e-14
"(959642, 984448)",-253.0,1.8426252147235624e-14
"(1004837, 1004838)",-252.0,2.0879679116459336e-14
"(1004838, 1004839)",-251.0,2.3659776091347615e-14
"(1004839, 1004840)",-250.0,2.6810038677818034e-14
"(1004840, 1004841)",-249.0,3.037975385443128e-14
"(1004841, 1004842)",-248.0,3.442477108469976e-14
"(1004842, 1004843)",-247.0,3.900837610180715e-14
"(1004843, 1004844)",-246.0,4.420228103641173e-14
"(1004844, 1004845)",-245.0,5.008774637843506e-14
"(1004845, 1004846)",-244.0,5.675685232632723e-14
"(1004846, 1004847)",-243.0,6.431393941452e-14
"(1004847, 1004848)",-242.0,7.287724095819692e-14
"(1004848, 1004849)",-241.0,8.25807328555592e-14
"(1004849, 1004850)",-240.0,9.357622968840175e-14
"(1004850, 1004851)",-239.0,1.0603575991523846e-13
"(1004851, 1004852)",-238.0,1.2015425731771784e-13
"(1004852, 1004853)",-237.0,1.3615261080896538e-13
"(1004853, 1004854)",-236.0,1.5428112031918877e-13
"(1004854, 1004855)",-235.0,1.748234128271057e-13
"(1004855, 1004856)",-234.0,1.9810087980489794e-13
"(1004856, 1004857)",-233.0,2.2447770550209742e-13
"(1004857, 1004858)",-232.0,2.5436656473769233e-13
"(1004858, 1004859)",-231.0,2.8823507934443873e-13
"(1004859, 1004860)",-230.0,3.2661313427874473e-13
"(1004860, 1004861)",-229.0,3.701011678592672e-13
"(1004861, 1004862)",-228.0,4.1937956583795446e-13
"(1004862, 1029659)",-227.0,4.752193062771153e-13
"(1050048, 1050049)",-226.0,5.384940217754036e-13
"(1050049, 1050050)",-225.0,6.101936677605324e-13
"(1050050, 1050051)",-224.0,6.914400106940203e-13
"(1050051, 1050052)",-223.0,7.835041785064389e-13
"(1050052, 1050053)",-222.0,8.878265478459659e-13
"(1050053, 1050054)",-221.0,1.006039279283317e-12
"(1050054, 1050055)",-220.0,1.1399918530443554e-12
"(1050055, 1050056)",-219.0,1.2917800047859961e-12
"(1050056, 1050057)",-218.0,1.463778514125909e-12
"(1050057, 1050058)",-217.0,1.6586783589142312e-12
"(1050058, 1050059)",-216.0,1.8795288165390832e-12
"(1050059, 1050060)",-215.0,2.1297851709557847e-12
"(1050060, 1074870)",-214.0,2.4133627718332143e-12
"(1095259, 1095260)",-213.0,2.7346982915918745e-12
"(1095260, 1095261)",-212.0,3.098819138721825e-12
"(1095261, 1095262)",-211.0,3.5114221133765118e-12
"(1095262, 1095263)",-210.0,3.97896253583724e-12
"(1095263, 1095264)",-209.0,4.508755242294825e-12
"(1095264, 1095265)",-208.0,5.109089028063324e-12
"(1095265, 1095266)",-207.0,5.789356328730651e-12
"(1095266, 1095267)",-206.0,6.560200168153779e-12
"(1095267, 1095268)",-205.0,7.433680672352188e-12
"(1095268, 1095269)",-204.0,8.423463754468647e-12
"(1095269, 1095270)",-203.0,9.545034922840628e-12
"(1095270, 1095271)",-202.0,1.0815941557285693e-11
"(1095271, 1095272)",-201.0,1.2256067444099483e-11
"(1095272, 1095273)",-200.0,1.3887943864964021e-11
"(1095273, 1095274)",-199.0,1.57371021068629e-11
"(1095274, 1095275)",-198.0,1.783247290814639e-11
"(1095275, 1095276)",-197.0,2.020683909022217e-11
"(1095276, 1095277)",-196.0,2.289734845645553e-11
"(1095277, 1095278)",-195.0,2.5946094982764667e-11
"(1095278, 1095279)",-194.0,2.9400777392844726e-11
"(1095279, 1095280)",-193.0,3.3315445421664114e-11
"(1095280, 1095281)",-192.0,3.775134544279098e-11
"(1095281, 1095282)",-191.0,4.277787868968998e-11
"(1095282, 1095283)",-190.0,4.8473687062702556e-11
"(1095283, 1095284)",-189.0,5.4927883509546835e-11
"(1095284, 1095285)",-188.0,6.224144622907783e-11
"(1095285, 1095286)",-187.0,7.05287985111216e-11
"(1095286, 1095287)",-186.0,7.991959892953931e-11
"(1095287, 1095288)",-185.0,9.056076989672866e-11
"(1095288, 1095289)",-184.0,1.026187963170189e-10
"(1095289, 1095290)",-183.0,1.1628233030220971e-10
"(1095290, 1095291)",-182.0,1.317651427009547e-10
"(1095291, 1095292)",-181.0,1.493094676197164e-10
"(1095292, 1120081)",-180.0,1.6918979226151304e-10
"(1140470, 1140471)",-179.0,1.917171513758312e-10
"(1140471, 1140472)",-178.0,2.172439935079017e-10
"(1140472, 1140473)",-177.0,2.4616969518153846e-10
"(1140473, 1140474)",-176.0,2.7894680928689246e-10
"(1140474, 1140475)",-175.0,3.160881454313692e-10
"(1140475, 1140476)",-174.0,3.581747930283181e-10
"(1140476, 1140477)",-173.0,4.058652126475693e-10
"(1140477, 1140478)",-172.0,4.599055378652317e-10
"(1140478, 1140479)",-171.0,5.21141248788854e-10
"(1140479, 1140480)",-170.0,5.905303998944039e-10
"(1140480, 1140481)",-169.0,6.691586091292783e-10
"(1140481, 1140482)",-168.0,7.582560427911907e-10
"(1140482, 1140483)",-167.0,8.592166619174109e-10
"(1140483, 1140484)",-166.0,9.736200313009565e-10
"(1140484, 1140485)",-165.0,1.103256032343554e-09
"(1140485, 1140486)",-164.0,1.2501528663867426e-09
"(1140486, 1140487)",-163.0,1.4166087866431964e-09
"(1140487, 1140488)",-162.0,1.6052280551856116e-09
"(1140488, 1140489)",-161.0,1.818961687553046e-09
"(1140489, 1140490)",-160.0,2.061153622438558e-09
"(1140490, 1140491)",-159.0,2.335593038799337e-09
"(1140491, 1140492)",-158.0,2.646573638909117e-09
"(1140492, 1165292)",-157.0,2.9989608248573072e-09
"(1185681, 1185682)",-156.0,3.398267819495071e-09
"(1185682, 1185683)",-155.0,3.850741922767617e-09
"(1185683, 1185684)",-154.0,4.363462252943701e-09
"(1185684, 1185685)",-153.0,4.944450501938644e-09
"(1185685, 1185686)",-152.0,5.602796437537268e-09
"(1185686, 1185687)",-151.0,6.3488001160436795e-09
"(1185687, 1185688)",-150.0,7.194133030325384e-09
"(1185688, 1185689)",-149.0,8.152020714470167e-09
"(1185689, 1185690)",-148.0,9.237449661970594e-09
"(1185690, 1185691)",-147.0,1.0467401794744656e-08
"(1185691, 1185692)",-146.0,1.186112015134383e-08
"(1185692, 1185693)",-145.0,1.3440409951135022e-08
