rank,data,discretized_data,our u,our weights,std_our weights
146,193172.0,2390889844.0,-6042.5,0.0,0.0
147,193178.0,2390964106.0,-6041.5,0.0,0.0
148,193219.0,2391471563.0,-6040.5,0.0,0.0
149,193474.0,2394627698.0,-6039.5,0.0,0.0
150,193616.0,2396385232.0,-6038.5,0.0,0.0
151,193663.0,2396966951.0,-6037.5,0.0,0.0
152,193741.0,2397932357.0,-6036.5,0.0,0.0
153,193986.0,2400964722.0,-6035.5,0.0,0.0
154,193993.0,2401051361.0,-6034.5,0.0,0.0
155,194089.0,2402239553.0,-6033.5,0.0,0.0
156,194112.0,2402524224.0,-6032.5,0.0,0.0
157,194160.0,2403118320.0,-6031.5,0.0,0.0
158,194216.0,2403811432.0,-6030.5,0.0,0.0
159,194227.0,2403947579.0,-6029.5,0.0,0.0
160,194352.0,2405494704.0,-6028.5,0.0,0.0
161,194381.0,2405853637.0,-6027.5,0.0,0.0
162,194414.0,2406262078.0,-6026.5,0.0,0.0
163,194444.0,2406633388.0,-6025.5,0.0,0.0
164,194521.0,2407586417.0,-6024.5,0.0,0.0
165,194526.0,2407648302.0,-6023.5,0.0,0.0
166,194691.0,2409690507.0,-6022.5,0.0,0.0
167,194752.0,2410445504.0,-6021.5,0.0,0.0
168,194773.0,2410705421.0,-6020.5,0.0,0.0
169,195049.0,2414121473.0,-6019.5,0.0,0.0
170,195254.0,2416658758.0,-6018.5,0.0,0.0
171,195363.0,2418007851.0,-6017.5,0.0,0.0
172,195515.0,2419889155.0,-6016.5,0.0,0.0
173,195540.0,2420198580.0,-6015.5,0.0,0.0
174,195555.0,2420384235.0,-6014.5,0.0,0.0
175,195571.0,2420582267.0,-6013.5,0.0,0.0
176,195623.0,2421225871.0,-6012.5,0.0,0.0
177,195639.0,2421423903.0,-6011.5,0.0,0.0
178,195920.0,2424901840.0,-6010.5,0.0,0.0
179,195998.0,2425867246.0,-6009.5,0.0,0.0
180,196002.0,2425916754.0,-6008.5,0.0,0.0
181,196057.0,2426597489.0,-6007.5,0.0,0.0
182,196133.0,2427538141.0,-6006.5,0.0,0.0
183,196267.0,2429196659.0,-6005.5,0.0,0.0
184,196469.0,2431696813.0,-6004.5,0.0,0.0
185,196537.0,2432538449.0,-6003.5,0.0,0.0
186,196685.0,2434370245.0,-6002.5,0.0,0.0
187,196860.0,2436536220.0,-6001.5,0.0,0.0
188,196949.0,2437637773.0,-6000.5,0.0,0.0
189,197036.0,2438714572.0,-5999.5,0.0,0.0
190,197138.0,2439977026.0,-5998.5,0.0,0.0
191,197146.0,2440076042.0,-5997.5,0.0,0.0
192,197401.0,2443232177.0,-5996.5,0.0,0.0
193,197455.0,2443900535.0,-5995.5,0.0,0.0
194,197558.0,2445175366.0,-5994.5,0.0,0.0
195,197569.0,2445311513.0,-5993.5,0.0,0.0
196,197572.0,2445348644.0,-5992.5,0.0,0.0
197,197604.0,2445744708.0,-5991.5,0.0,0.0
198,197604.0,2445744709.0,-5990.5,0.0,0.0
199,197608.0,2445794216.0,-5989.5,0.0,0.0
200,197626.0,2446017002.0,-5988.5,0.0,0.0
201,197645.0,2446252165.0,-5987.5,0.0,0.0
202,197715.0,2447118555.0,-5986.5,0.0,0.0
203,197755.0,2447613635.0,-5985.5,0.0,0.0
204,197772.0,2447824044.0,-5984.5,0.0,0.0
205,197848.0,2448764696.0,-5983.5,0.0,0.0
206,197877.0,2449123629.0,-5982.5,0.0,0.0
207,197915.0,2449593955.0,-5981.5,0.0,0.0
208,197933.0,2449816741.0,-5980.5,0.0,0.0
209,198083.0,2451673291.0,-5979.5,0.0,0.0
210,198090.0,2451759930.0,-5978.5,0.0,0.0
211,198194.0,2453047138.0,-5977.5,0.0,0.0
212,198209.0,2453232793.0,-5976.5,0.0,0.0
213,198367.0,2455188359.0,-5975.5,0.0,0.0
214,198476.0,2456537452.0,-5974.5,0.0,0.0
215,198500.0,2456834500.0,-5973.5,0.0,0.0
216,198607.0,2458158839.0,-5972.5,0.0,0.0
217,198635.0,2458505395.0,-5971.5,0.0,0.0
218,198687.0,2459148999.0,-5970.5,0.0,0.0
219,198719.0,2459545063.0,-5969.5,0.0,0.0
220,198804.0,2460597108.0,-5968.5,0.0,0.0
221,199139.0,2464743403.0,-5967.5,0.0,0.0
222,199176.0,2465201352.0,-5966.5,0.0,0.0
223,199261.0,2466253397.0,-5965.5,0.0,0.0
224,199455.0,2468654535.0,-5964.5,0.0,0.0
225,199475.0,2468902075.0,-5963.5,0.0,0.0
226,199575.0,2470139775.0,-5962.5,0.0,0.0
227,199988.0,2475251476.0,-5961.5,0.0,0.0
228,200207.0,2477962039.0,-5960.5,0.0,0.0
229,200220.0,2478122940.0,-5959.5,0.0,0.0
230,200238.0,2478345726.0,-5958.5,0.0,0.0
231,200330.0,2479484410.0,-5957.5,0.0,0.0
232,200392.0,2480251784.0,-5956.5,0.0,0.0
233,200401.0,2480363177.0,-5955.5,0.0,0.0
234,200406.0,2480425062.0,-5954.5,0.0,0.0
235,200473.0,2481254321.0,-5953.5,0.0,0.0
236,200592.0,2482727184.0,-5952.5,0.0,0.0
237,200688.0,2483915376.0,-5951.5,0.0,0.0
238,200746.0,2484633242.0,-5950.5,0.0,0.0
239,200883.0,2486328891.0,-5949.5,0.0,0.0
240,200884.0,2486341268.0,-5948.5,0.0,0.0
241,200945.0,2487096265.0,-5947.5,0.0,0.0
242,201047.0,2488358719.0,-5946.5,0.0,0.0
243,201106.0,2489088962.0,-5945.5,0.0,0.0
244,201207.0,2490339039.0,-5944.5,0.0,0.0
245,201243.0,2490784611.0,-5943.5,0.0,0.0
246,201285.0,2491304445.0,-5942.5,0.0,0.0
247,201372.0,2492381244.0,-5941.5,0.0,0.0
248,201375.0,2492418375.0,-5940.5,0.0,0.0
249,201479.0,2493705583.0,-5939.5,0.0,0.0
250,201512.0,2494114024.0,-5938.5,0.0,0.0
251,201585.0,2495017545.0,-5937.5,0.0,0.0
252,201609.0,2495314593.0,-5936.5,0.0,0.0
253,201621.0,2495463117.0,-5935.5,0.0,0.0
254,201644.0,2495747788.0,-5934.5,0.0,0.0
255,201692.0,2496341884.0,-5933.5,0.0,0.0
256,201717.0,2496651309.0,-5932.5,0.0,0.0
257,201915.0,2499101955.0,-5931.5,0.0,0.0
258,201973.0,2499819821.0,-5930.5,0.0,0.0
259,202018.0,2500376786.0,-5929.5,0.0,0.0
260,202069.0,2501008013.0,-5928.5,0.0,0.0
261,202136.0,2501837272.0,-5927.5,0.0,0.0
262,202322.0,2504139394.0,-5926.5,0.0,0.0
263,202335.0,2504300295.0,-5925.5,0.0,0.0
264,202354.0,2504535458.0,-5924.5,0.0,0.0
265,202398.0,2505080046.0,-5923.5,0.0,0.0
266,202449.0,2505711273.0,-5922.5,0.0,0.0
267,202485.0,2506156845.0,-5921.5,0.0,0.0
268,202537.0,2506800449.0,-5920.5,0.0,0.0
269,202549.0,2506948973.0,-5919.5,0.0,0.0
270,202584.0,2507382168.0,-5918.5,0.0,0.0
271,202622.0,2507852494.0,-5917.5,0.0,0.0
272,202628.0,2507926756.0,-5916.5,0.0,0.0
273,202734.0,2509238718.0,-5915.5,0.0,0.0
274,202786.0,2509882322.0,-5914.5,0.0,0.0
275,202851.0,2510686827.0,-5913.5,0.0,0.0
276,202866.0,2510872482.0,-5912.5,0.0,0.0
277,202978.0,2512258706.0,-5911.5,0.0,0.0
278,203019.0,2512766163.0,-5910.5,0.0,0.0
279,203079.0,2513508783.0,-5909.5,0.0,0.0
280,203079.0,2513508784.0,-5908.5,0.0,0.0
281,203125.0,2514078125.0,-5907.5,0.0,0.0
282,203167.0,2514597959.0,-5906.5,0.0,0.0
283,203226.0,2515328202.0,-5905.5,0.0,0.0
284,203231.0,2515390087.0,-5904.5,0.0,0.0
285,203269.0,2515860413.0,-5903.5,0.0,0.0
286,203302.0,2516268854.0,-5902.5,0.0,0.0
287,203410.0,2517605570.0,-5901.5,0.0,0.0
288,203676.0,2520897852.0,-5900.5,0.0,0.0
289,203798.0,2522407846.0,-5899.5,0.0,0.0
290,203846.0,2523001942.0,-5898.5,0.0,0.0
291,203859.0,2523162843.0,-5897.5,0.0,0.0
292,203974.0,2524586198.0,-5896.5,0.0,0.0
293,204021.0,2525167917.0,-5895.5,0.0,0.0
294,204195.0,2527321515.0,-5894.5,0.0,0.0
295,204279.0,2528361183.0,-5893.5,0.0,0.0
296,204332.0,2529017164.0,-5892.5,0.0,0.0
297,204337.0,2529079049.0,-5891.5,0.0,0.0
298,204382.0,2529636014.0,-5890.5,0.0,0.0
299,204411.0,2529994947.0,-5889.5,0.0,0.0
300,204416.0,2530056832.0,-5888.5,0.0,0.0
301,204580.0,2532086660.0,-5887.5,0.0,0.0
302,204602.0,2532358954.0,-5886.5,0.0,0.0
303,204638.0,2532804526.0,-5885.5,0.0,0.0
304,204705.0,2533633785.0,-5884.5,0.0,0.0
305,204738.0,2534042226.0,-5883.5,0.0,0.0
306,204858.0,2535527466.0,-5882.5,0.0,0.0
307,204858.0,2535527467.0,-5881.5,0.0,0.0
308,204866.0,2535626482.0,-5880.5,0.0,0.0
309,204936.0,2536492872.0,-5879.5,0.0,0.0
310,204962.0,2536814674.0,-5878.5,0.0,0.0
311,204968.0,2536888936.0,-5877.5,0.0,0.0
312,205048.0,2537879096.0,-5876.5,0.0,0.0
313,205214.0,2539933678.0,-5875.5,0.0,0.0
314,205311.0,2541134247.0,-5874.5,0.0,0.0
315,205428.0,2542582356.0,-5873.5,0.0,0.0
316,205432.0,2542631864.0,-5872.5,0.0,0.0
317,205440.0,2542730880.0,-5871.5,0.0,0.0
318,205452.0,2542879404.0,-5870.5,0.0,0.0
319,205472.0,2543126944.0,-5869.5,0.0,0.0
320,205620.0,2544958740.0,-5868.5,0.0,0.0
321,205694.0,2545874638.0,-5867.5,0.0,0.0
322,205700.0,2545948900.0,-5866.5,0.0,0.0
323,205815.0,2547372255.0,-5865.5,0.0,0.0
324,205936.0,2548869872.0,-5864.5,0.0,0.0
325,205971.0,2549303067.0,-5863.5,0.0,0.0
326,206030.0,2550033310.0,-5862.5,0.0,0.0
327,206050.0,2550280850.0,-5861.5,0.0,0.0
328,206061.0,2550416997.0,-5860.5,0.0,0.0
329,206120.0,2551147240.0,-5859.5,0.0,0.0
330,206281.0,2553139937.0,-5858.5,0.0,0.0
331,206502.0,2555875254.0,-5857.5,0.0,0.0
332,206600.0,2557088200.0,-5856.5,0.0,0.0
333,206649.0,2557694673.0,-5855.5,0.0,0.0
334,206678.0,2558053606.0,-5854.5,0.0,0.0
335,206699.0,2558313523.0,-5853.5,0.0,0.0
336,206756.0,2559019012.0,-5852.5,0.0,0.0
337,206797.0,2559526469.0,-5851.5,0.0,0.0
338,206831.0,2559947287.0,-5850.5,0.0,0.0
339,206836.0,2560009172.0,-5849.5,0.0,0.0
340,206854.0,2560231958.0,-5848.5,0.0,0.0
341,206933.0,2561209741.0,-5847.5,0.0,0.0
342,206963.0,2561581051.0,-5846.5,0.0,0.0
343,207023.0,2562323671.0,-5845.5,0.0,0.0
344,207032.0,2562435064.0,-5844.5,0.0,0.0
345,207055.0,2562719735.0,-5843.5,0.0,0.0
346,207109.0,2563388093.0,-5842.5,0.0,0.0
347,207292.0,2565653084.0,-5841.5,0.0,0.0
348,207344.0,2566296688.0,-5840.5,0.0,0.0
349,207365.0,2566556605.0,-5839.5,0.0,0.0
350,207387.0,2566828899.0,-5838.5,0.0,0.0
351,207416.0,2567187832.0,-5837.5,0.0,0.0
352,207559.0,2568957743.0,-5836.5,0.0,0.0
353,207607.0,2569551839.0,-5835.5,0.0,0.0
354,207628.0,2569811756.0,-5834.5,0.0,0.0
355,207788.0,2571792076.0,-5833.5,0.0,0.0
356,207890.0,2573054530.0,-5832.5,0.0,0.0
357,207928.0,2573524856.0,-5831.5,0.0,0.0
358,207937.0,2573636249.0,-5830.5,0.0,0.0
359,207953.0,2573834281.0,-5829.5,0.0,0.0
360,207986.0,2574242722.0,-5828.5,0.0,0.0
361,208083.0,2575443291.0,-5827.5,0.0,0.0
362,208227.0,2577225579.0,-5826.5,0.0,0.0
363,208300.0,2578129100.0,-5825.5,0.0,0.0
364,208486.0,2580431222.0,-5824.5,0.0,0.0
365,208622.0,2582114494.0,-5823.5,0.0,0.0
366,208646.0,2582411542.0,-5822.5,0.0,0.0
367,208662.0,2582609574.0,-5821.5,0.0,0.0
368,208877.0,2585270629.0,-5820.5,0.0,0.0
369,208880.0,2585307760.0,-5819.5,0.0,0.0
370,208907.0,2585641939.0,-5818.5,0.0,0.0
371,208975.0,2586483575.0,-5817.5,0.0,0.0
372,209024.0,2587090048.0,-5816.5,0.0,0.0
373,209049.0,2587399473.0,-5815.5,0.0,0.0
374,209052.0,2587436604.0,-5814.5,0.0,0.0
375,209089.0,2587894553.0,-5813.5,0.0,0.0
376,209104.0,2588080208.0,-5812.5,0.0,0.0
377,209128.0,2588377256.0,-5811.5,0.0,0.0
378,209129.0,2588389633.0,-5810.5,0.0,0.0
379,209184.0,2589070368.0,-5809.5,0.0,0.0
380,209334.0,2590926918.0,-5808.5,0.0,0.0
381,209447.0,2592325519.0,-5807.5,0.0,0.0
382,209559.0,2593711743.0,-5806.5,0.0,0.0
383,209644.0,2594763788.0,-5805.5,0.0,0.0
384,209659.0,2594949443.0,-5804.5,0.0,0.0
385,209690.0,2595333130.0,-5803.5,0.0,0.0
386,209789.0,2596558453.0,-5802.5,0.0,0.0
387,209817.0,2596905009.0,-5801.5,0.0,0.0
388,209835.0,2597127795.0,-5800.5,0.0,0.0
389,209862.0,2597461974.0,-5799.5,0.0,0.0
390,209956.0,2598625412.0,-5798.5,0.0,0.0
391,209973.0,2598835821.0,-5797.5,0.0,0.0
392,209983.0,2598959591.0,-5796.5,0.0,0.0
393,210063.0,2599949751.0,-5795.5,0.0,0.0
394,210183.0,2601434991.0,-5794.5,0.0,0.0
395,210414.0,2604294078.0,-5793.5,0.0,0.0
396,210467.0,2604950059.0,-5792.5,0.0,0.0
397,210532.0,2605754564.0,-5791.5,0.0,0.0
398,210555.0,2606039235.0,-5790.5,0.0,0.0
399,210705.0,2607895785.0,-5789.5,0.0,0.0
400,210718.0,2608056686.0,-5788.5,0.0,0.0
401,210732.0,2608229964.0,-5787.5,0.0,0.0
402,210738.0,2608304226.0,-5786.5,0.0,0.0
403,210745.0,2608390865.0,-5785.5,0.0,0.0
404,210750.0,2608452750.0,-5784.5,0.0,0.0
405,210765.0,2608638405.0,-5783.5,0.0,0.0
406,210927.0,2610643479.0,-5782.5,0.0,0.0
407,210966.0,2611126182.0,-5781.5,0.0,0.0
408,211015.0,2611732655.0,-5780.5,0.0,0.0
409,211057.0,2612252489.0,-5779.5,0.0,0.0
410,211067.0,2612376259.0,-5778.5,0.0,0.0
411,211124.0,2613081748.0,-5777.5,0.0,0.0
412,211127.0,2613118879.0,-5776.5,0.0,0.0
413,211160.0,2613527320.0,-5775.5,0.0,0.0
414,211197.0,2613985269.0,-5774.5,0.0,0.0
415,211290.0,2615136330.0,-5773.5,0.0,0.0
416,211389.0,2616361653.0,-5772.5,0.0,0.0
417,211446.0,2617067142.0,-5771.5,0.0,0.0
418,211548.0,2618329596.0,-5770.5,0.0,0.0
419,211588.0,2618824676.0,-5769.5,0.0,0.0
420,211607.0,2619059839.0,-5768.5,0.0,0.0
421,211698.0,2620186146.0,-5767.5,0.0,0.0
422,211757.0,2620916389.0,-5766.5,0.0,0.0
423,211762.0,2620978274.0,-5765.5,0.0,0.0
424,211794.0,2621374338.0,-5764.5,0.0,0.0
425,211795.0,2621386715.0,-5763.5,0.0,0.0
426,211925.0,2622995725.0,-5762.5,0.0,0.0
427,211931.0,2623069987.0,-5761.5,0.0,0.0
428,211936.0,2623131872.0,-5760.5,0.0,0.0
429,211951.0,2623317527.0,-5759.5,0.0,0.0
430,211959.0,2623416543.0,-5758.5,0.0,0.0
431,212014.0,2624097278.0,-5757.5,0.0,0.0
432,212027.0,2624258179.0,-5756.5,0.0,0.0
433,212045.0,2624480965.0,-5755.5,0.0,0.0
434,212181.0,2626164237.0,-5754.5,0.0,0.0
435,212187.0,2626238499.0,-5753.5,0.0,0.0
436,212200.0,2626399400.0,-5752.5,0.0,0.0
437,212509.0,2630223893.0,-5751.5,0.0,0.0
438,212595.0,2631288315.0,-5750.5,0.0,0.0
439,212664.0,2632142328.0,-5749.5,0.0,0.0
440,212681.0,2632352737.0,-5748.5,0.0,0.0
441,212690.0,2632464130.0,-5747.5,0.0,0.0
442,212738.0,2633058226.0,-5746.5,0.0,0.0
443,212811.0,2633961747.0,-5745.5,0.0,0.0
444,212845.0,2634382565.0,-5744.5,0.0,0.0
445,212957.0,2635768789.0,-5743.5,0.0,0.0
446,212979.0,2636041083.0,-5742.5,0.0,0.0
447,213007.0,2636387639.0,-5741.5,0.0,0.0
448,213221.0,2639036317.0,-5740.5,0.0,0.0
449,213230.0,2639147710.0,-5739.5,0.0,0.0
450,213262.0,2639543774.0,-5738.5,0.0,0.0
451,213362.0,2640781474.0,-5737.5,0.0,0.0
452,213374.0,2640929998.0,-5736.5,0.0,0.0
453,213382.0,2641029014.0,-5735.5,0.0,0.0
454,213388.0,2641103276.0,-5734.5,0.0,0.0
455,213505.0,2642551385.0,-5733.5,0.0,0.0
456,213525.0,2642798925.0,-5732.5,0.0,0.0
457,213642.0,2644247034.0,-5731.5,0.0,0.0
458,213651.0,2644358427.0,-5730.5,0.0,0.0
459,213683.0,2644754491.0,-5729.5,0.0,0.0
460,213702.0,2644989654.0,-5728.5,0.0,0.0
461,213736.0,2645410472.0,-5727.5,0.0,0.0
462,213768.0,2645806536.0,-5726.5,0.0,0.0
463,213889.0,2647304153.0,-5725.5,0.0,0.0
464,213978.0,2648405706.0,-5724.5,0.0,0.0
465,214043.0,2649210211.0,-5723.5,0.0,0.0
466,214069.0,2649532013.0,-5722.5,0.0,0.0
467,214095.0,2649853815.0,-5721.5,0.0,0.0
468,214103.0,2649952831.0,-5720.5,0.0,0.0
469,214122.0,2650187994.0,-5719.5,0.0,0.0
470,214160.0,2650658320.0,-5718.5,0.0,0.0
471,214211.0,2651289547.0,-5717.5,0.0,0.0
472,214223.0,2651438071.0,-5716.5,0.0,0.0
473,214306.0,2652465362.0,-5715.5,0.0,0.0
474,214394.0,2653554538.0,-5714.5,0.0,0.0
475,214394.0,2653554539.0,-5713.5,0.0,0.0
476,214398.0,2653604046.0,-5712.5,0.0,0.0
477,214533.0,2655274941.0,-5711.5,0.0,0.0
478,214589.0,2655968053.0,-5710.5,0.0,0.0
479,214845.0,2659136565.0,-5709.5,0.0,0.0
480,214927.0,2660151479.0,-5708.5,0.0,0.0
481,214965.0,2660621805.0,-5707.5,0.0,0.0
482,215029.0,2661413933.0,-5706.5,0.0,0.0
483,215057.0,2661760489.0,-5705.5,0.0,0.0
484,215061.0,2661809997.0,-5704.5,0.0,0.0
485,215107.0,2662379339.0,-5703.5,0.0,0.0
486,215113.0,2662453601.0,-5702.5,0.0,0.0
487,215144.0,2662837288.0,-5701.5,0.0,0.0
488,215371.0,2665646867.0,-5700.5,0.0,0.0
489,215402.0,2666030554.0,-5699.5,0.0,0.0
490,215450.0,2666624650.0,-5698.5,0.0,0.0
491,215478.0,2666971206.0,-5697.5,0.0,0.0
492,215500.0,2667243500.0,-5696.5,0.0,0.0
493,215558.0,2667961366.0,-5695.5,0.0,0.0
494,215588.0,2668332676.0,-5694.5,0.0,0.0
495,215664.0,2669273328.0,-5693.5,0.0,0.0
496,215684.0,2669520868.0,-5692.5,0.0,0.0
497,215685.0,2669533245.0,-5691.5,0.0,0.0
